frequency	term
159319	기술
52081	개발
44120	분야
38706	시스템
35289	있음
33237	시장
28217	것으로
27450	기반
25713	국내
23891	산업
22244	있으며
21677	특허
21008	소재
20414	제품
20077	가능
19273	중소기업
18692	요소기술
18639	주요
18490	사용
18484	관련
18193	통해
17566	활용
16506	다양
16351	적용
15714	미국
15047	지원
14186	출원인
14027	제공
13323	필요
13268	증가
13117	기업
12500	일본
12047	경우
12038	가장
11995	관리
11382	확보
11381	출원
11110	중심
10983	키워드
10834	장치
10816	기술개발
10783	전망
10704	생산
10682	동향
10423	연구개발
10418	연구
10375	장비
10375	위해
10333	세계
10280	최근
10278	분류
10011	구축
9820	기능
9753	통한
9728	보유
9725	달러
9577	이용
9433	도출
9234	수준
9226	성장
8982	방법
8944	기존
8882	확대
8840	이용한
8553	나타
8449	한국
8334	사용자
8031	규모
7980	출처
7598	전문가
7365	나타남
7265	처리
7257	포함
7235	향상
7224	구분
7063	수요
7063	핵심기술
6993	추진
6947	기술이
6748	모니터링
6719	실시간
6668	선정
6636	구성
6539	방식
6523	정책
6523	제작
6495	유럽
6405	활발
6185	대상
6112	업체
6078	대기업
6075	구조
6073	경쟁력
6058	인식
5921	요구
5891	기능성
5888	글로벌
5777	발생
5746	in
5737	구현
5672	특성
5670	모바일
5664	형태
5652	핵심요소기술
5569	가공
5541	통합
5479	해외
5463	특허논문
5444	측정
5424	강화
5393	상황
5380	중국
5349	영상
5303	지능형
5297	전체
5245	차지
5227	대응
5194	집중
5180	전문가추천
5173	사업
5090	상태
5026	기준
4964	새로
4893	예상
4867	기술수요
4842	성능
4800	변화
4793	비중
4765	단위
4760	수행
4755	응용
4736	공급
4629	현황
4613	운영
4561	지속적
4550	정부
4544	범위
4433	투자
4373	연계
4358	상대적
3737	In
3552	전략
3369	로드맵
3490	출원이
3298	AN
3224	진단
3206	비교
3196	결과
3183	판단
3167	이후
3102	해당
3084	방향
3070	세계시장
3068	바탕
3020	창출
2997	성장률
2927	한국전자통신연구원
2959	중요
2952	CAGR
2900	파악
2880	부족
2880	최종
2845	설치
2818	계획
2796	조사
2787	식품
2785	효율
2783	자동
2778	RD
2761	주요출원인
2744	출원량
2673	문제
2662	아직
2654	주도
2646	독일
2640	보이고
2640	판매
2638	필요성
2629	가격
2623	품질
2596	참여
2581	2016년
2564	정도
2558	국내시장
2543	선진국
2543	신뢰성
2517	No
2501	점유율
2491	수립
2484	공동
2472	관련된
2457	2017년
2447	절감
2446	영역
2440	탑재
2421	효과
2391	여러
2380	표면
2368	일부
2356	비용
2340	내용
2338	보호
2331	기획
2302	공간
2296	표준
2295	기술력
2283	온도
2277	추정
2271	수입
2266	프로그램
2253	특허출원
2241	확인
2240	Re
2237	많이
2235	증대
2195	않은
2191	이러
2180	작업
2178	접목
2177	대체
2172	공공연구기관
2162	추출
2160	목적
2154	소형
2153	기대
2153	검증
2150	요소
2146	속도
2145	2015년
2144	진출
2130	전방산업
2130	육성
2129	시작
2129	자체
2126	교육
2117	기술집중도
2103	역할
2101	최대
2100	method
2097	이동
2093	개요
2092	학습
2091	주요특허
2081	규제
2080	명칭
2069	효율적
2056	확산
2049	보급
2048	전략제품
2044	출원현황
2043	관심
2034	시험
2022	지역
2011	발표
2006	com
2000	제거
1993	미래
1977	영향
1977	기술로드맵
1975	원료
1973	수지
1969	시장대응전략
1963	수소
1946	부분
1944	제조업
1943	검사
1938	자원
1918	기업들
1915	확정
1907	사이
1904	가상
1901	이하
1899	출원동향
1897	확장
1895	소비자
1876	실제
1871	국산화
1869	전환
1866	조성
1864	과정
1859	세계적
1859	수출
1859	변환
